# D,S,E,I_1,A,A_d,I_2,Y,R
0.000000000000000000e+00,9.999491026078180876e+05,2.917959124086876344e+01,5.330186882629981859e+00,1.438761405846517150e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.746229827404022217e-09,9.999186036132450681e+05,3.141497045621633077e+01,3.000057983817036700e+01,6.962004329577480277e+00,4.244913854485475646e+00,1.541124805758270710e+00,2.516098010841911758e-01,6.981183667864431897e+00
8.381903171539306641e-09,9.998639591764258221e+05,4.818326121518069982e+01,5.909961757398571081e+01,6.196169744718544869e+00,4.952854255465699573e+00,3.238552564627314112e+00,6.653465945557680561e-01,1.370502161722298240e+01
2.363231033086776733e-08,9.997697898096254794e+05,8.075508357436419260e+01,1.046227429618569431e+02,8.830940287008822054e+00,5.833540384308378179e+00,6.097860243754386289e+00,1.411141914019025778e+00,2.265888098559852182e+01
5.378387868404388428e-08,9.996080794080796186e+05,1.379236020892495276e+02,1.811246875765161235e+02,1.464107639038139475e+01,8.007467624756982261e+00,1.083535576166948822e+01,2.682635605790781419e+00,3.670576681815449405e+01
1.095468178391456604e-07,9.993304160127725918e+05,2.365434578548558875e+02,3.118013336127684170e+02,2.502433359018747794e+01,1.242188433304579576e+01,1.883307817222355851e+01,4.826434402975198878e+00,6.013346515178858454e+01
2.080341801047325134e-07,9.988537576779867522e+05,4.059851552851731640e+02,5.358504806005767023e+02,4.296829618397049444e+01,2.050449002436431556e+01,3.247560848585867177e+01,8.459577921516128640e+00,9.999871330373002820e+01
3.754394128918647766e-07,9.980439258942867164e+05,6.728944683620520664e+02,9.380320551423552615e+02,7.028974875704216174e+01,3.625553170807825865e+01,5.410703057872834876e+01,1.510652850649346846e+01,1.693887422831092806e+02
6.720656529068946838e-07,9.966402182030944386e+05,1.173854565732526680e+03,1.595233959947820267e+03,1.236310193313216388e+02,6.064827090112270014e+01,9.438260078733435421e+01,2.564803117701783819e+01,2.863833483563670370e+02
1.129461452364921570e-06,9.943401691208262928e+05,1.728866891277007198e+03,2.945982219732712565e+03,1.705013967331576055e+02,1.223414266133265897e+02,1.414602288511107986e+02,4.945380306715081531e+01,5.012249117697767247e+02
1.996057108044624329e-06,9.902550939587481553e+05,3.131439960386318035e+03,4.911866086431426993e+03,3.187938724237039878e+02,1.978990189261096191e+02,2.555501649999846450e+02,8.142232517657274116e+01,8.479346109116036132e+02
3.636581823229789734e-06,9.829984880726039410e+05,6.390087566019576116e+03,7.604567727288568676e+03,7.023217519646856317e+02,2.697908786050297181e+02,5.147185857561551074e+02,1.193496722513948782e+02,1.400675741874117875e+03
6.180838681757450104e-06,9.712403259675403824e+05,1.036973849665478883e+04,1.328992477994684668e+04,1.131625546722200625e+03,4.917797432632684718e+02,8.458738153099059218e+02,2.130469029394270422e+02,2.417684741442391896e+03
1.050881110131740570e-05,9.516207736567665124e+05,1.684687883356924067e+04,2.288651370294214576e+04,1.842869823792927264e+03,8.750319962506371212e+02,1.398833337846950144e+03,3.740348321712232291e+02,4.155063806151479184e+03
1.788092777132987976e-05,9.193636764478357509e+05,2.746775457697984530e+04,3.853067751494787808e+04,3.056288657724393488e+03,1.513072989999596075e+03,2.338092780169653452e+03,6.424853976711192445e+02,7.087951616790784101e+03
3.052270039916038513e-05,8.679568225999921560e+05,4.404593412471787451e+04,6.335856831249794777e+04,5.127098228467588342e+03,2.524286550157803049e+03,3.914549083882486229e+03,1.076431311200362643e+03,1.199630975856115765e+04
5.208619404584169388e-05,7.899078534617702244e+05,6.841670422623051854e+04,1.006654436802614073e+05,8.632344876865312472e+03,4.044102417281813814e+03,6.518520496960220953e+03,1.750302196503204186e+03,2.006472859204110500e+04
8.658808656036853790e-05,6.815987887739003636e+05,9.621572199763159733e+04,1.557261578024250630e+05,1.339813292746682782e+04,6.707669083494065490e+03,1.022880168701671755e+04,2.886178370423155229e+03,3.323854927105417300e+04
1.422469504177570343e-04,5.460248479854946490e+05,1.231615335408073879e+05,2.262989447255913983e+05,2.011397337566560600e+04,1.058499312847360306e+04,1.545903437164817660e+04,4.565850536792363528e+03,5.379082219327984058e+04
2.284335205331444740e-04,3.992300421537617804e+05,1.404416770300894568e+05,3.025130099549938459e+05,2.876890293609714354e+04,1.578702623062834027e+04,2.220689503621665790e+04,6.856864668761591020e+03,8.419558176101763092e+04
3.543744096532464027e-04,2.662727588457778329e+05,1.360724970901256893e+05,3.718104466897724196e+05,3.753443270633163775e+04,2.242468354574017576e+04,2.931058743019018220e+04,9.800646557267962635e+03,1.267739467804196174e+05
5.279154283925890923e-04,1.645211630175292667e+05,1.136790587893577031e+05,4.163604614646099508e+05,4.509803938305129850e+04,2.967189534838252803e+04,3.568953705522568634e+04,1.308276999868432722e+04,1.818970744152437837e+05
7.512688171118497849e-04,9.702265249854064314e+04,8.475677641862991732e+04,4.272974911591333803e+05,5.019032227398220857e+04,3.638246100729278260e+04,4.024750991010511643e+04,1.622377620479656252e+04,2.478790097762506630e+05
1.018634648062288761e-03,5.693282572285657807e+04,5.604573727030697773e+04,4.114451040233559324e+05,5.150090481202186493e+04,4.171572686760588113e+04,4.197980004193578498e+04,1.882525762778487842e+04,3.215546426154975197e+05
1.318720169365406036e-03,3.413492815390575561e+04,3.490753406732977601e+04,3.760189139916935237e+05,4.985079478372503945e+04,4.483080804967525910e+04,4.127048201132172107e+04,2.049017393824224928e+04,3.984963636853865464e+05
